parameter,csv_file,column_name,priority_rank,quality_score,confidence,reasoning,calculation,method,expert_validation,sample_context
MoistureContent,Triaxial Total Stress by Geology.csv,Initial Moisture Content,3,8,HIGH,Pre-test condition measured before test alterations. Reliable measure of natural sample condition with careful handling for strength testing.,Direct gravimetric measurement before test setup,Direct Lab Measurement,VALIDATED,Pre-test natural sample condition
MoistureContent,Triaxial Effective Stress by Geology.csv,Initial Moisture Content,2,8,HIGH,Pre-test condition measured before any alteration (saturation loading shearing). Reliable measure of sample condition as-received by lab. Minor quality reduction for potential moisture loss during storage and specimen preparation.,Direct gravimetric measurement before test setup,Direct Lab Measurement,VALIDATED,Pre-test natural sample condition
MoistureContent,Consolidation by Geology.csv,Initial MC,4,8,HIGH,Pre-test measurement before consolidation loading. Represents natural sample state prior to stress application and saturation.,Direct gravimetric measurement before consolidation,Direct Lab Measurement,VALIDATED,Pre-consolidation natural condition
MoistureContent,Shear Box by Geology.csv,Initial Moisture Content,5,8,HIGH,Pre-test measurement before shear testing. Natural sample condition preserved prior to test setup and loading.,Direct gravimetric measurement before shear testing,Direct Lab Measurement,VALIDATED,Pre-test natural sample condition
MoistureContent,MCV by Geology.csv,MoistureContent,7,5,MEDIUM,Test-specific preparation for Moisture Condition Value testing. Sample may be air-dried and re-wetted potentially not representing original natural moisture content. Use with caution.,Direct gravimetric measurement but sample may be modified,Test-Specific Preparation,VALIDATED,Sample possibly air-dried and re-wetted
MoistureContent,Laboratory CBR by Geology.csv,Moisture Content Top,6,7,HIGH,Pre-test measurement but on remolded specimen. May not represent natural field conditions if sample was disturbed and remolded.,Direct gravimetric measurement on remolded specimen,Lab Measurement (Remolded),VALIDATED,Remolded specimen initial condition
MoistureContent,Classification by Geology.csv,Moisture Content,1,9,HIGH,Direct measurement from dedicated moisture content test (BS 1377-2 ASTM D2216). Fundamental index property often performed immediately upon sample extrusion to minimize moisture loss. Highest likelihood of representing true in-situ condition.,Direct gravimetric measurement - oven drying method,Direct Lab Measurement,VALIDATED,Immediate testing upon sample extrusion
MoistureContentOptimum,Compaction by Geology.csv,Optimum Moisture Content,2,9,HIGH,Synonym for Optimum Moisture Content from compaction testing. Same quality as primary source. WARNING: Standard vs Modified Proctor method unspecified.,Direct measurement from compaction curve peak,Direct Lab Measurement,VALIDATED,Proctor compaction testing (method unspecified)
MoistureContentOptimum,Compaction by Geology.csv,Optimum Moisture Content,3,9,HIGH,Synonym for Optimum Moisture Content from compaction testing. Same quality as primary source. WARNING: Standard vs Modified Proctor method unspecified.,Direct measurement from compaction curve peak,Direct Lab Measurement,VALIDATED,Proctor compaction testing (method unspecified)
MoistureContentOptimum,Compaction by Geology.csv,Optimum Moisture Content,1,9,HIGH,Direct source from compaction testing (Proctor tests). Primary authoritative source for optimum moisture content determination. WARNING: Standard vs Modified Proctor method unspecified.,Direct measurement from compaction curve peak,Direct Lab Measurement,VALIDATED,Proctor compaction testing (method unspecified)
PlasticLimit,Classification by Geology.csv,Plastic Limit,1,6,HIGH,Lower boundary of plastic range. Most subjective Atterberg Limit test relying on technician judgment of 3.2mm thread crumbling. Quality score reflects high operator variability but critical for plasticity range determination and soil classification.,Direct measurement from thread rolling test,Direct Lab Measurement,VALIDATED,Atterberg Limits testing - highest operator dependency
PlasticityIndex,Classification by Geology.csv,Plasticity Index,1,7,HIGH,,Calculated as Liquid Limit minus Plastic Limit,Direct Lab Measurement,VALIDATED,Atterberg Limits testing - operator dependent but fundamental
ResidualUndrainedShearStrength,Vane Tests by Geology.csv,Residual Result Value,1,9,HIGH,Post-failure residual undrained shear strength from field vane testing. Expert validation: Industry standard direct measurement of large-strain residual behavior. Critical for post-failure slope stability analysis and progressive failure assessment. Distinct from peak strength parameter.,,Direct Lab Measurement,VALIDATED - Residual strength measurement,
UndrainedCohesion,Vane Tests by Geology.csv,Result Value,2,7,HIGH,,,Direct Lab Measurement,VALIDATED - In-situ lower bound,
UndrainedShearStrength,Triaxial Total Stress by Geology.csv,Shear Strength at Failure,1,10,HIGH,Gold standard direct measurement from unconsolidated undrained (UU) triaxial testing. Provides most reliable cu value for short-term stability analysis. Expert validation: Precise total stress control with drainage prevention - industry standard for undrained strength determination.,,Direct Lab Measurement,VALIDATED - Gold standard,
UndrainedShearStrength,Vane Tests by Geology.csv,Result Value,2,9,HIGH,"Field vane shear test providing direct in-situ measurement of peak undrained shear strength. Expert validation: Direct measurement superior to correlations, excellent for spatial profiling in soft to firm cohesive soils. More representative of field conditions than laboratory samples.",,Direct Lab Measurement,VALIDATED - Excellent in-situ measurement,
UndrainedShearStrength,CPT by Geology.csv,UndrainedShearStrength,3,9,HIGH,"Empirically derived cu from CPT tip resistance using established correlations (cu = (qc-σv0)/Nkt). Expert validation: Excellent continuous profiling with high repeatability, quality dependent on Nkt factor calibration. Provides comprehensive spatial variability assessment.",,Field/Lab Correlation,VALIDATED - High-quality correlation,
UndrainedShearStrength,SPT by Geology.csv,N,4,6,MEDIUM,"Empirically derived cu from SPT N-value using correlation cu = 4.5 × N. Expert validation: Widely used correlation for cohesive soils, lower quality due to indirect nature and variable test conditions. Useful for preliminary assessment and spatial coverage.",cu = 4.5 × N,Field Correlation,VALIDATED - Standard SPT correlation,
UndrainedShearStrength,Pressuremeter Test Results - General.csv,Undrained Shear Strength,,,,,,,,
UniaxialCompressiveStrength,Triaxial Total Stress by Geology.csv,Corrected Deviator Stress at Failure,1,10,HIGH,Highest quality UCS measurement when triaxial test performed with zero confining pressure (σ₃ = 0). Corrected deviator stress equals UCS directly. Industry-standard unconfined compression test methodology providing fundamental strength parameter.,,Direct Lab Measurement,VALIDATED - Direct UCS measurement,
UnitWeightBulk,Triaxial Effective Stress by Geology.csv,Initial Bulk Density,1,9,HIGH,Direct measurement on high-quality undisturbed specimens for advanced effective stress testing. Maximum care in sample preparation and handling ensures accurate representation of in-situ conditions.,Direct measurement from specimen mass and volume,Direct Lab Measurement,VALIDATED,Undisturbed specimen for triaxial testing
UnitWeightBulk,Triaxial Total Stress by Geology.csv,Initial Bulk Density,2,9,HIGH,Direct measurement on high-quality specimens for total stress strength testing. Controlled laboratory conditions with careful sample preparation maintain natural density state.,Direct measurement from specimen mass and volume,Direct Lab Measurement,VALIDATED,Quality specimen for strength testing
UnitWeightBulk,Shear Box by Geology.csv,Initial Bulk Density,3,9,HIGH,Direct measurement on quality specimens for shear strength determination. Careful sample preparation and handling preserve natural soil density characteristics.,Direct measurement from specimen mass and volume,Direct Lab Measurement,VALIDATED,Quality specimen for shear testing
UnitWeightBulk,Consolidation by Geology.csv,Initial Bulk Density,4,9,HIGH,Direct measurement on specimens for compressibility testing. High-quality sample handling required for consolidation testing maintains accurate initial density measurement.,Direct measurement from specimen mass and volume,Direct Lab Measurement,VALIDATED,Specimen for consolidation testing
UnitWeightBulk,Classification by Geology.csv,Bulk Density,5,8,HIGH,Primary direct measurement from classification testing but may be performed on disturbed or bulk samples. Still represents high quality direct measurement of soil density.,Direct measurement from specimen mass and volume,Direct Lab Measurement,VALIDATED,Variable quality sample condition
UnitWeightBulk,MCV by Geology.csv,BulkDensity,6,7,MEDIUM,Direct measurement but performed in context of MCV testing which may involve sample preparation changes that could affect natural density state.,Direct measurement from specimen mass and volume,Direct Lab Measurement,VALIDATED,Sample prepared for MCV testing
UnitWeightBulk,Laboratory CBR by Geology.csv,Initial Bulk Density,7,6,MEDIUM,Remolded test specimen - initial bulk density may not accurately represent in-situ field conditions unless specifically prepared to match natural density.,Direct measurement from remolded specimen,Lab Measurement (Remolded),VALIDATED,Remolded specimen for CBR testing
UnitWeightBulk,CPT by Geology.csv,BulkDensity,8,5,MEDIUM,Excellent continuous in-situ data coverage but bulk density values are derived from correlations with cone resistance measurements. Quality depends on correlation method and local calibration.,Correlation from cone resistance and sleeve friction,Field Correlation,VALIDATED,In-situ field measurement via correlation
UnitWeightDry,Consolidation by Geology.csv,Initial Dry Density,4,9,HIGH,Direct measurement of in-situ dry density for compressibility analysis. Essential parameter for void ratio calculations and consolidation parameter determination.,Calculated from bulk density and moisture content,Direct Lab Measurement,VALIDATED,Specimen for consolidation testing
UnitWeightDry,Shear Box by Geology.csv,Initial Dry Density,3,9,HIGH,Direct measurement representing natural soil dry density state for shear strength testing. Critical for accurate shear strength parameter determination.,Calculated from bulk density and moisture content,Direct Lab Measurement,VALIDATED,Quality specimen for shear testing
UnitWeightDry,Laboratory CBR by Geology.csv,Initial Dry Density,6,6,MEDIUM,Remolded test specimen - initial dry density may not accurately represent natural in-situ field conditions unless specifically compacted to match natural density.,Calculated from remolded specimen bulk density and MC,Lab Measurement (Remolded),VALIDATED,Remolded specimen for CBR testing
UnitWeightDry,Classification by Geology.csv,Dry Density,5,8,HIGH,Primary direct measurement of in-situ dry density from classification testing. High quality measurement but may be from samples of variable condition.,Calculated from bulk density and moisture content,Direct Lab Measurement,VALIDATED,Variable quality sample condition
UnitWeightDry,Triaxial Effective Stress by Geology.csv,Initial Dry Density,1,9,HIGH,Direct measurement representing in-situ dry density on high-quality undisturbed specimens. Critical parameter for effective stress analysis and accurate soil mechanics calculations.,Calculated from bulk density and moisture content,Direct Lab Measurement,VALIDATED,Undisturbed specimen for triaxial testing
UnitWeightDry,Triaxial Total Stress by Geology.csv,Initial Dry Density,2,9,HIGH,Direct measurement of in-situ dry density on quality specimens for total stress strength testing. Essential for accurate stress-strain relationship determination.,Calculated from bulk density and moisture content,Direct Lab Measurement,VALIDATED,Quality specimen for strength testing
ParticleSizeDistribution,Particle Size Distribution Analysis - Data.csv,Percentage Passing,1,10,HIGH,Direct measurement of particle size distribution from grading analysis. Plots particle size (mm) vs percentage passing (%). Industry-standard test for soil classification and engineering behavior prediction.,Direct,Laboratory Testing,VALIDATED,Particle size distribution analysis from grading tests
Initial Shear Modulus,Pressuremeter Test Results - General.csv,Initial Shear Modulus,,,,,,,,
EffectiveYoungsModulus,CPT Young's Modulus.csv,E',,,,,,,,
